Mumbai,India,Ibiza,Spain,500,1169,8,3,July,5,4:00 AM,yes,06334
Sydney,Australia,Quito,Ecuador,211,491,2,0,March,24,4:07 PM,yes,06827
Paris,France,Jerusalem,Israel,182,1421,3,1,March,11,5:18 AM,yes,00292
Quebec,Canada,Lisbon,Portugal,1717,2299,12,5,July,3,12:21 AM,yes,09912
Malmo,Sweden,Brussels,Belgium,61,253,2,0,December,27,6:27 PM,yes,05141
Kyiv,Ukraine,Copenhagen,Denmark,279,778,2,1,December,16,12:12 AM,yes,09741
Juneau,USA,New Dehli,India,4398,6446,20,13,March,6,8:31 AM,yes,09264
Gainesville,USA,Cape Town,South Africa,2229,9623,11,6,November,26,10:06 AM,yes,03548
Frankfurt,Germany,Las Vegas,USA,2289,6626,12,9,June,9,10:14 AM,yes,06944
Mumbai,India,Moscow,Russia,489,1658,2,2,July,6,2:49 PM,yes,01115
Valencia,Spain,Sydney,Australia,3372,6270,26,8,June,16,12:34 AM,yes,06924
Abuja,Nigeria,Minsk,Belarus,605,767,5,2,November,10,1:35 AM,yes,08636
Mumbai,India,Stockholm,Sweden,1580,1107,9,3,August,3,1:24 PM,yes,03966
Brasilia,Brazil,Sydney,Australia,3609,6758,22,13,January,10,0:58 AM,yes,08909
Atlanta,USA,Tunis,Tunisia,891,2762,12,5,November,8,2:52 PM,yes,00900
Brasilia,Brazil,San Fransisco,USA,1552,2350,5,4,September,21,1:40 AM,yes,04041
Taipei,Taiwan,Oporto,Portugal,3234,8281,11,7,June,0,10:05 AM,yes,09668
Cairo,Egypt,Dubai,United Arab Emirates,678,893,2,2,August,17,10:42 AM,yes,00467
Atlanta,USA,Charleston,USA,66,435,1,0,September,28,10:49 AM,no,04309
London,England,Stockholm,Sweden,294,609,2,1,March,3,10:50 PM,yes,01008
Copenhagen,Denmark,Havana,Cuba,2353,7448,7,6,July,8,1:23 AM,yes,09314
Quito,Ecuador,Marrakesh,Morocco,2409,6157,9,6,July,29,0:31 AM,yes,00798
Abuja,Nigeria,Vienna,Austria,291,1815,2,1,May,2,6:37 AM,yes,07958
Athens,Greece,Rome,Italy,162,886,3,1,June,6,8:12 AM,yes,02646
Quito,Ecuador,Madeira,Portugal,1251,7021,16,6,June,5,6:15 PM,yes,00322
Dallas,USA,Tampa,USA,253,869,3,1,January,13,11:29 PM,no,02510
Paris,France,Montevideo,Uruguay,1835,3088,13,5,October,29,6:11 AM,yes,04182
Istanbul,Turkyie,Valencia,Spain,76,1329,2,1,January,19,1:02 AM,yes,07189
Mumbai,India,Dallas,USA,2810,9718,20,10,December,7,8:53 AM,yes,00145
Milan,Italy,Seoul,South Korea,3116,9949,24,7,December,25,8:42 AM,yes,07437
Cairo,Egypt,Caracas,Venezuela,2184,6114,8,6,September,23,1:52 PM,yes,02455
Athens,Greece,Montevideo,Uruguay,1962,7808,9,6,June,28,10:01 PM,yes,00053
Melbourne,Australia,Caracas,Venezuela,3144,11196,19,14,February,13,3:45 AM,yes,00481
Naples,Italy,Hong Kong,China,2742,8439,10,6,September,9,11:47 PM,yes,01659
San Juan,Puerto Rico,Atlanta,USA,72,168,3,0,August,2,12:24 PM,yes,04474
Oslo,Norway,Reykjavik,Iceland,764,1824,4,2,March,20,10:29 PM,yes,04414
Havana,Cuba,Santorini,Greece,2677,8773,25,7,December,12,3:51 PM,yes,07518
Bogota,Colombia,Atlanta,USA,302,199,3,1,October,2,9:33 PM,yes,07627
Minsk,Belarus,Quito,Ecuador,1932,8505,28,8,October,2,5:13 AM,yes,01003
San Juan,Puerto Rico,Brussels,Belgium,1787,8360,10,6,March,23,9:12 PM,yes,07900
